Tool,Parameters,InitialSize,NewSize,Ratio
ect,--strict -9,1060275,638677,0.602369196670675
ect,--strict -9,17818795,10127878,0.5683817564543506
ect,--strict -9,14105918,8454547,0.5993617005288135
ect,--strict -9,9574194,7346499,0.767322972565628
ect,--strict -9,11691200,5764726,0.49308248939373206
ect,--strict -9,11189733,5552053,0.4961738586613282
ect,--strict -9,15136898,8476139,0.5599653905311379
ect,--strict -9,17295792,9606623,0.555431228590168
ect,--strict -9,14140694,11050222,0.7814483504133531
ect,--strict -9,14009184,7299843,0.5210755315941314
ect,--strict -9,17359477,10267966,0.5914905155264758
ect,--strict -9,12771364,6878097,0.538556179277327
ect,--strict -9,19115882,11855067,0.6201684546912353
ect,--strict -9,13103347,7339246,0.5601046816511842
ect,--strict -9,14180936,7402237,0.521985079123127
ect,--strict -9,13530574,8180207,0.6045720602836214
ect,--strict -9,15221346,8526541,0.5601699744556099
ect,--strict -9,12310021,6425430,0.5219674280003259
ect,--strict -9,12569322,6979695,0.5552960613150018
