Tool,Parameters,InitialSize,NewSize,Ratio
ect,--strict -1,1060275,675027,0.6366527551814388
ect,--strict -1,17818795,9939317,0.5577996155183333
ect,--strict -1,14105918,7922092,0.5616147775706621
ect,--strict -1,9574194,8576583,0.8958020904945105
ect,--strict -1,11691200,6109873,0.5226044375256603
ect,--strict -1,11189733,5872927,0.5248496099057949
ect,--strict -1,15136898,8287994,0.5475358293357067
ect,--strict -1,17295792,9560120,0.5527425399195365
ect,--strict -1,14140694,12641183,0.8939577505884789
ect,--strict -1,14009184,7677995,0.5480686812308269
ect,--strict -1,17359477,9816341,0.5654744667710899
ect,--strict -1,12771364,6976807,0.5462851892718742
ect,--strict -1,19115882,10726279,0.5611187074705735
ect,--strict -1,13103347,7211262,0.550337406160426
ect,--strict -1,14180936,7738783,0.5457173630852011
ect,--strict -1,13530574,7357062,0.5437361341802647
ect,--strict -1,15221346,8381648,0.5506509082705301
ect,--strict -1,12310021,6575026,0.5341198036948922
ect,--strict -1,12569322,6909528,0.5497136599730678
ect,--strict -1,12965194,7092876,0.547070564466679
ect,--strict -1,15201042,8712203,0.5731319602958798
ect,--strict -1,13454429,7445856,0.5534130062301418
ect,--strict -1,14155724,7736045,0.5464958909908105
ect,--strict -1,14275852,7891849,0.5528110686493528
ect,--strict -1,10954000,5714941,0.5217218367719555
ect,--strict -1,11699990,6416130,0.5483876481945711
ect,--strict -1,13418653,7643681,0.5696310203416095
ect,--strict -2,1060275,649851,0.6129079719883992
ect,--strict -2,17818795,10500813,0.58931106171882
ect,--strict -2,14105918,8648269,0.613095085339359
ect,--strict -2,9574194,7545830,0.7881425841172636
ect,--strict -2,11691200,5791042,0.49533341316545776
ect,--strict -2,11189733,5583706,0.4990026124841406
ect,--strict -2,15136898,8588994,0.567421013208915
ect,--strict -2,17295792,9643939,0.5575887475982597
ect,--strict -2,14140694,11449323,0.8096719298218319
ect,--strict -2,14009184,7335754,0.5236389214389646
ect,--strict -2,17359477,10396291,0.5988827313173087
ect,--strict -2,12771364,6900303,0.5402949129004545
ect,--strict -2,19115882,12635105,0.660974209821969
ect,--strict -2,13103347,7408717,0.5654064568388519
ect,--strict -2,14180936,7439428,0.5246076845703274
ect,--strict -2,13530574,8757816,0.647261232228581
ect,--strict -2,15221346,8742692,0.5743704925963841
ect,--strict -2,12310021,6454860,0.524358163158292
ect,--strict -2,12569322,7135338,0.567678829454763
ect,--strict -2,12965194,7008495,0.5405622931673834
ect,--strict -2,15201042,8325077,0.54766489034107
ect,--strict -2,13454429,7695317,0.5719541869818481
ect,--strict -2,14155724,7822568,0.5526081181012006
ect,--strict -2,14275852,8484935,0.5943557694489968
ect,--strict -2,10954000,5452897,0.49779961657841887
ect,--strict -2,11699990,6245657,0.5338172938609349
ect,--strict -2,13418653,7278494,0.5424161426634998
ect,--strict -3,1060275,647507,0.6106972247765909
ect,--strict -3,17818795,10224685,0.5738146154103013
ect,--strict -3,14105918,8555369,0.6065091970618289
ect,--strict -3,9574194,7374771,0.7702759104317293
ect,--strict -3,11691200,5790884,0.49531989872724785
ect,--strict -3,11189733,5583852,0.4990156601591834
ect,--strict -3,15136898,8515761,0.5625829677916836
ect,--strict -3,17295792,9643612,0.5575698412654361
ect,--strict -3,14140694,11094799,0.7846007416609114
ect,--strict -3,14009184,7334525,0.5235511932743548
ect,--strict -3,17359477,10388651,0.5984426258924737
ect,--strict -3,12771364,6900119,0.5402805056687758
ect,--strict -3,19115882,12311036,0.6440213430905255
ect,--strict -3,13103347,7404730,0.5651021834345072
ect,--strict -3,14180936,7439183,0.5245904078546014
ect,--strict -3,13530574,8457016,0.6250300985013644
ect,--strict -3,15221346,8584579,0.5639829092643975
ect,--strict -3,12310021,6454888,0.5243604377279292
ect,--strict -3,12569322,7064004,0.5620035830094893
ect,--strict -3,12965194,7008094,0.5405313642048086
ect,--strict -3,15201042,8216473,0.5405203801160473
ect,--strict -3,13454429,7719073,0.5737198509130339
ect,--strict -3,14155724,7803401,0.5512541075256907
ect,--strict -3,14275852,8429728,0.590488609716604
ect,--strict -3,10954000,5452426,0.4977566185868176
ect,--strict -3,11699990,6245589,0.5338114818901555
ect,--strict -3,13418653,7243454,0.5398048522456017
ect,--strict -4,1060275,641920,0.6054278371177289
ect,--strict -4,17818795,10162112,0.570302986256927
ect,--strict -4,14105918,8482955,0.6013756070324526
ect,--strict -4,9574194,7366481,0.769410041200335
ect,--strict -4,11691200,5784592,0.4947817161625838
ect,--strict -4,11189733,5576914,0.49839562749173727
ect,--strict -4,15136898,8501294,0.5616272237548274
ect,--strict -4,17295792,9633333,0.5569755348584211
ect,--strict -4,14140694,11081608,0.7836679020138616
ect,--strict -4,14009184,7325420,0.5229012624860948
ect,--strict -4,17359477,10299556,0.593310270810578
ect,--strict -4,12771364,6893730,0.5397802458688046
ect,--strict -4,19115882,11934276,0.6243120772559697
ect,--strict -4,13103347,7362926,0.5619118535134573
ect,--strict -4,14180936,7431004,0.5240136476181826
ect,--strict -4,13530574,8214171,0.6070822272580602
ect,--strict -4,15221346,8560882,0.5624260824239854
ect,--strict -4,12310021,6447502,0.5237604387514855
ect,--strict -4,12569322,6996227,0.5566113271662545
ect,--strict -4,12965194,6999680,0.5398823958978168
ect,--strict -4,15201042,8167646,0.5373082976811722
ect,--strict -4,13454429,7660944,0.5693994148692598
ect,--strict -4,14155724,7780324,0.5496238835964872
ect,--strict -4,14275852,8398344,0.5882902120307776
ect,--strict -4,10954000,5447543,0.4973108453532956
ect,--strict -4,11699990,6239522,0.5332929344384055
ect,--strict -4,13418653,7177392,0.5348817053395747
ect,--strict -5,1060275,640308,0.6039074768338403
ect,--strict -5,17818795,10142469,0.5692006109279556
ect,--strict -5,14105918,8465499,0.600138112244804
ect,--strict -5,9574194,7354821,0.768192184114924
ect,--strict -5,11691200,5772039,0.49370800260024633
ect,--strict -5,11189733,5561885,0.4970525212710616
ect,--strict -5,15136898,8484634,0.5605266019497522
ect,--strict -5,17295792,9615731,0.5559578306677139
ect,--strict -5,14140694,11060524,0.7821768860849404
ect,--strict -5,14009184,7308763,0.5217122567595657
ect,--strict -5,17359477,10279659,0.5921640957270775
ect,--strict -5,12771364,6883438,0.5389743804968679
ect,--strict -5,19115882,11891615,0.6220803727497376
ect,--strict -5,13103347,7346312,0.560643933187452
ect,--strict -5,14180936,7412249,0.5226910974000588
ect,--strict -5,13530574,8196004,0.6057395643377731
ect,--strict -5,15221346,8539215,0.5610026209245884
ect,--strict -5,12310021,6434258,0.5226845673130858
ect,--strict -5,12569322,6985244,0.5557375330188852
ect,--strict -5,12965194,6985991,0.5388265690432399
ect,--strict -5,15201042,8146246,0.5359004994526033
ect,--strict -5,13454429,7642940,0.5680612681519223
ect,--strict -5,14155724,7760782,0.5482433819704312
ect,--strict -5,14275852,8373115,0.5865229619920408
ect,--strict -5,10954000,5438790,0.4965117765199927
ect,--strict -5,11699990,6227451,0.5322612241548924
ect,--strict -5,13418653,7162420,0.5337659450616988
ect,--strict -6,1060275,639396,0.6030473226285633
ect,--strict -6,17818795,10132953,0.568666568081624
ect,--strict -6,14105918,8458181,0.5996193228969572
ect,--strict -6,9574194,7350683,0.7677599806312677
ect,--strict -6,11691200,5767563,0.4933251505405775
ect,--strict -6,11189733,5555427,0.4964753850695097
ect,--strict -6,15136898,8479993,0.5602200001611956
ect,--strict -6,17295792,9610750,0.5556698415429603
ect,--strict -6,14140694,11053189,0.7816581703839995
ect,--strict -6,14009184,7303154,0.5213118765518391
ect,--strict -6,17359477,10273418,0.5918045802877586
ect,--strict -6,12771364,6880258,0.5387253859493786
ect,--strict -6,19115882,11878268,0.6213821575169799
ect,--strict -6,13103347,7340948,0.5602345721287851
ect,--strict -6,14180936,7405812,0.5222371781383118
ect,--strict -6,13530574,8189543,0.6052620531841443
ect,--strict -6,15221346,8530764,0.5604474137832489
ect,--strict -6,12310021,6428406,0.5222091822589092
ect,--strict -6,12569322,6982121,0.5554890709299992
ect,--strict -6,12965194,6980373,0.5383932550488639
ect,--strict -6,15201042,8133492,0.5350614780223619
ect,--strict -6,13454429,7636761,0.5676020141768929
ect,--strict -6,14155724,7755508,0.5478708118355514
ect,--strict -6,14275852,8364751,0.5859370775208372
ect,--strict -6,10954000,5434593,0.4961286288113931
ect,--strict -6,11699990,6222870,0.5318696853587054
ect,--strict -6,13418653,7156446,0.5333207438928482
ect,--strict -7,1060275,638954,0.6026304496474971
ect,--strict -7,17818795,10126269,0.5682914585413884
ect,--strict -7,14105918,8457066,0.5995402780591805
ect,--strict -7,9574194,7349333,0.7676189765947922
ect,--strict -7,11691200,5765384,0.4931387710414671
ect,--strict -7,11189733,5553956,0.4963439252750714
ect,--strict -7,15136898,8476574,0.55999412825534
ect,--strict -7,17295792,9607099,0.5554587497351957
ect,--strict -7,14140694,11051074,0.7815086020530534
ect,--strict -7,14009184,7302046,0.5212327855783748
ect,--strict -7,17359477,10268674,0.5915313001653218
ect,--strict -7,12771364,6878159,0.5385610338880014
ect,--strict -7,19115882,11872162,0.621062737256905
ect,--strict -7,13103347,7339776,0.5601451293322233
ect,--strict -7,14180936,7404677,0.5221571411083161
ect,--strict -7,13530574,8190685,0.6053464546293453
ect,--strict -7,15221346,8526839,0.5601895522248821
ect,--strict -7,12310021,6426794,0.52207823203551
ect,--strict -7,12569322,6979966,0.5553176217460257
ect,--strict -7,12965194,6977648,0.5381830769366043
ect,--strict -7,15201042,8120775,0.5342248906357867
ect,--strict -7,13454429,7637976,0.567692319012572
ect,--strict -7,14155724,7753849,0.5477536154279358
ect,--strict -7,14275852,8362110,0.5857520798058148
ect,--strict -7,10954000,5431594,0.49585484754427606
ect,--strict -7,11699990,6220405,0.53165900141795
ect,--strict -7,13418653,7141053,0.5321736093779309
ect,--strict -8,1060275,638656,0.6023493904883167
ect,--strict -8,17818795,10125979,0.5682751835912585
ect,--strict -8,14105918,8454979,0.5993923259726875
ect,--strict -8,9574194,7347208,0.7673970257966363
ect,--strict -8,11691200,5764865,0.49309437867798
ect,--strict -8,11189733,5552372,0.49620236693762043
ect,--strict -8,15136898,8476113,0.5599636728740591
ect,--strict -8,17295792,9606688,0.5554349867297201
ect,--strict -8,14140694,11050497,0.7814677978322705
ect,--strict -8,14009184,7300317,0.5211093665412632
ect,--strict -8,17359477,10268349,0.5915125784031396
ect,--strict -8,12771364,6877934,0.5385434163492638
ect,--strict -8,19115882,11870821,0.6209925861647398
ect,--strict -8,13103347,7339467,0.5601215475710137
ect,--strict -8,14180936,7402508,0.5220041892862362
ect,--strict -8,13530574,8187668,0.6051234781318221
ect,--strict -8,15221346,8526389,0.5601599884793369
ect,--strict -8,12310021,6425389,0.5219640973805
ect,--strict -8,12569322,6979726,0.5552985276373698
ect,--strict -8,12965194,6976917,0.5381266952118109
ect,--strict -8,15201042,8115514,0.5338787959404362
ect,--strict -8,13454429,7635641,0.5675187702131395
ect,--strict -8,14155724,7750637,0.5475267107496585
ect,--strict -8,14275852,8359174,0.5855464178250097
ect,--strict -8,10954000,5430838,0.4957858316596677
ect,--strict -8,11699990,6220288,0.531649001409403
ect,--strict -8,13418653,7135501,0.5317598569692502
